s
indexer,parentBountyId,proposer,index,value,dValue,fee,curator,beneficiary,unlockAt,description,meta,state,isFinal,stateSort,deposit,fiatValue,symbolPrice
"{""blockHeight"": 20867040, ""blockHash"": ""0x6da3e2a77f23c94186d9b0f5b4ae55aa11ad331ba05a8e90ac2a6e0e85db188f"", ""blockTime"": 1716279006000, ""eventIndex"": 51, ""extrinsicIndex"": 2}",19,1625oaoaM26aRod3rAn9aNYWgQ9PZWofbfM2C9Sj7FPFfCGc,1169,14090000000000,{'$numberDecimal': '14090000000000'},0.0,14zU4FXuYU2wmi2PfXLADZW92NRYEw8nfUEvi7sqiJLafJ3A,12soSZUb7UbsC8iLrTy6dUVkKCfNvQxMMSRtvZJkfQL1BPRX,20982240.0,Payment to Starlay Finance for Milestone 3,"{'parentBounty': 19, 'value': 14090000000000, 'fee': 0, 'curatorDeposit': 0, 'status': {'pendingPayout': {'curator': '14zU4FXuYU2wmi2PfXLADZW92NRYEw8nfUEvi7sqiJLafJ3A', 'beneficiary': '12soSZUb7UbsC8iLrTy6dUVkKCfNvQxMMSRtvZJkfQL1BPRX', 'unlockAt': 20982240}}}","{""indexer"": {""blockHeight"": 20867040, ""blockHash"": ""0x6da3e2a77f23c94186d9b0f5b4ae55aa11ad331ba05a8e90ac2a6e0e85db188f"", ""blockTime"": 1716279006000, ""eventIndex"": 55, ""extrinsicIndex"": 2}, ""state"": ""PendingPayout""}",False,2,,,
"{""blockHeight"": 20790693, ""blockHash"": ""0x62d9038bc25bf0978939247547ba95611d49123455d8ba5be70929faf875b80d"", ""blockTime"": 1715817852000, ""eventIndex"": 72, ""extrinsicIndex"": 2}",31,14xpJ93SiwWHY4zpZbqrWuWvuQK1giMFWAc12i7NcPFKBErK,1158,2674600000000,{'$numberDecimal': '2674600000000'},0.0,1t4LzYdL5LyKqPUP4iMWNyHy9DthRKJLdx2dUfr25tV22Wi,16He6v8w7FYToooNkPudf7YtaEiceLfaXJ3hJwJRGcSPGTgo,20969632.0,RockX May 24,"{'parentBounty': 31, 'value': 2674600000000, 'fee': 0, 'curatorDeposit': 0, 'status': {'pendingPayout': {'curator': '1t4LzYdL5LyKqPUP4iMWNyHy9DthRKJLdx2dUfr25tV22Wi', 'beneficiary': '16He6v8w7FYToooNkPudf7YtaEiceLfaXJ3hJwJRGcSPGTgo', 'unlockAt': 20969632}}}","{""indexer"": {""blockHeight"": 20854432, ""blockHash"": ""0x7673ba55a4274a46269fb41f084f9213621f101173ebf386b01a4d41a8f27964"", ""blockTime"": 1716202932000, ""eventIndex"": 66, ""extrinsicIndex"": 2}, ""state"": ""PendingPayout""}",False,2,0.0,,
"{""blockHeight"": 20569926, ""blockHash"": ""0x32ef9c43d95ef6fc0a1d64c602682d0ed2823cf234af1a723bc2c6bc8f876829"", ""blockTime"": 1714486212000, ""eventIndex"": 113, ""extrinsicIndex"": 6}",37,16Sq4DbHGGDsVkgum9dVyTzRzvkiZrWG7mFSj8tuUEbPcA8o,1039,164700000000,{'$numberDecimal': '164700000000'},0.0,15oE3ZD75uPxZmfNSFuNVT1KnBJQqvJrXhZtEtBBZh7yxtPi,13uwV8CBHjv25W3GACLPzzvTu2v9USc2yCQdhrqPhyM3vx6w,20685126.0,Simply Staking - Q1 https://github.com/paseo-network/payouts/issues/12,"{'parentBounty': 37, 'value': 164700000000, 'fee': 0, 'curatorDeposit': 0, 'status': {'pendingPayout': {'curator': '15oE3ZD75uPxZmfNSFuNVT1KnBJQqvJrXhZtEtBBZh7yxtPi', 'beneficiary': '13uwV8CBHjv25W3GACLPzzvTu2v9USc2yCQdhrqPhyM3vx6w', 'unlockAt': 20685126}}}","{""indexer"": {""blockHeight"": 20569926, ""blockHash"": ""0x32ef9c43d95ef6fc0a1d64c602682d0ed2823cf234af1a723bc2c6bc8f876829"", ""blockTime"": 1714486212000, ""eventIndex"": 117, ""extrinsicIndex"": 6}, ""state"": ""PendingPayout""}",False,2,,,
"{""blockHeight"": 20455334, ""blockHash"": ""0x4134ba585ccb056edd1a44a14f5239bf8c90bee7fe04d2a18d9a34d246063ac9"", ""blockTime"": 1713796416000, ""eventIndex"": 95, ""extrinsicIndex"": 6}",31,14xpJ93SiwWHY4zpZbqrWuWvuQK1giMFWAc12i7NcPFKBErK,1001,2545970000000,{'$numberDecimal': '2545970000000'},0.0,1t4LzYdL5LyKqPUP4iMWNyHy9DthRKJLdx2dUfr25tV22Wi,16He6v8w7FYToooNkPudf7YtaEiceLfaXJ3hJwJRGcSPGTgo,20582507.0,RockX Apr 24,"{'parentBounty': 31, 'value': 2545970000000, 'fee': 0, 'curatorDeposit': 0, 'status': {'pendingPayout': {'curator': '1t4LzYdL5LyKqPUP4iMWNyHy9DthRKJLdx2dUfr25tV22Wi', 'beneficiary': '16He6v8w7FYToooNkPudf7YtaEiceLfaXJ3hJwJRGcSPGTgo', 'unlockAt': 20582507}}}","{""indexer"": {""blockHeight"": 20467307, ""blockHash"": ""0x0a6b975467c30fa39161f6a055f74a91766041f789cf7b6082d1b4d07902ca41"", ""blockTime"": 1713868302000, ""eventIndex"": 62, ""extrinsicIndex"": 2}, ""state"": ""PendingPayout""}",False,2,0.0,,
"{""blockHeight"": 22690833, ""blockHash"": ""0x7f7932f051bc44fd26fb8e76bc45db8a178c6c755f27d464818cefd09464e43c"", ""blockTime"": 1727274270000, ""eventIndex"": 90, ""extrinsicIndex"": 4}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2219,1131100000000,{'$numberDecimal': '1131100000000'},0.0,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,13JsTxizvEUEeewFagowtFQaWpHbADWCoSkTGAY7QTSkvtWF,22690942.0,Auxiliar Payment September / Amaury,"{'parentBounty': 42, 'value': 1131100000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh', 'beneficiary': '13JsTxizvEUEeewFagowtFQaWpHbADWCoSkTGAY7QTSkvtWF', 'unlockAt': 22690942}}}","{""indexer"": {""blockHeight"": 22690951, ""blockHash"": ""0xcadf1370211f9008c4735fed7fc1c6a5ff8636e174fbe2949539df6028feeb24"", ""blockTime"": 1727274978001, ""eventIndex"": 55, ""extrinsicIndex"": 2}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690833, ""blockHash"": ""0x7f7932f051bc44fd26fb8e76bc45db8a178c6c755f27d464818cefd09464e43c"", ""blockTime"": 1727274270000, ""eventIndex"": 84, ""extrinsicIndex"": 4}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2218,3161700000000,{'$numberDecimal': '3161700000000'},0.0,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg,22690942.0,Curator Payment September / Gerardo,"{'parentBounty': 42, 'value': 3161700000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh', 'beneficiary': '13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg', 'unlockAt': 22690942}}}","{""indexer"": {""blockHeight"": 22690971, ""blockHash"": ""0x241e4a14e799f1c567c4e29ec1c80b9b29cc455ccc8c1dfc9aa235efed9d92e1"", ""blockTime"": 1727275098001, ""eventIndex"": 74, ""extrinsicIndex"": 4}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690833, ""blockHash"": ""0x7f7932f051bc44fd26fb8e76bc45db8a178c6c755f27d464818cefd09464e43c"", ""blockTime"": 1727274270000, ""eventIndex"": 78, ""extrinsicIndex"": 4}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2217,3161700000000,{'$numberDecimal': '3161700000000'},0.0,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,14aGNTNA9RMbuy73V8LJRCNszmBtiiKEmYZjdXp4GFNo1fpt,22690942.0,Curator Payment September / Nachito,"{'parentBounty': 42, 'value': 3161700000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh', 'beneficiary': '14aGNTNA9RMbuy73V8LJRCNszmBtiiKEmYZjdXp4GFNo1fpt', 'unlockAt': 22690942}}}","{""indexer"": {""blockHeight"": 22691574, ""blockHash"": ""0xcf5b816f7cf99cdfb9459315f85716843d015e572a8b7965e1e6c7eac2e41f1b"", ""blockTime"": 1727278716000, ""eventIndex"": 81, ""extrinsicIndex"": 5}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690833, ""blockHash"": ""0x7f7932f051bc44fd26fb8e76bc45db8a178c6c755f27d464818cefd09464e43c"", ""blockTime"": 1727274270000, ""eventIndex"": 72, ""extrinsicIndex"": 4}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2216,3161700000000,{'$numberDecimal': '3161700000000'},0.0,14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh,15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP,22690942.0,Curator Payment September / Ernih,"{'parentBounty': 42, 'value': 3161700000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '14Gn7SEmCgMX7Ukuppnw5TRjA7pao2HFpuJo39frB42tYLEh', 'beneficiary': '15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP', 'unlockAt': 22690942}}}","{""indexer"": {""blockHeight"": 22691522, ""blockHash"": ""0xa4b72d7eaa398602744cb136c681b349197f80348fa37f6752ed495df50e6e49"", ""blockTime"": 1727278404000, ""eventIndex"": 54, ""extrinsicIndex"": 2}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690642, ""blockHash"": ""0x99095cdf335395fe2a5ffc8b3ca6f522b0a0a9c3f608526f1bb43b3ae7dad9d6"", ""blockTime"": 1727273124001, ""eventIndex"": 93, ""extrinsicIndex"": 2}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2215,840200000000,{'$numberDecimal': '840200000000'},0.0,15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP,15akZwzufEzFzfh18y4Q81Ci8TXyvH6hyUkRrxJED2MjEYhe,22691515.0,"Content creation V_202   ""LV""","{'parentBounty': 42, 'value': 840200000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP', 'beneficiary': '15akZwzufEzFzfh18y4Q81Ci8TXyvH6hyUkRrxJED2MjEYhe', 'unlockAt': 22691515}}}","{""indexer"": {""blockHeight"": 22691768, ""blockHash"": ""0x7a82b9bbb182a83e4b4ed3d68fa6ab93c1e0c94f17ee0f92d2617f4525ecf5e1"", ""blockTime"": 1727279880000, ""eventIndex"": 58, ""extrinsicIndex"": 2}, ""state"": ""Claimed""}",True,5,,,
"{""blockHeight"": 22690642, ""blockHash"": ""0x99095cdf335395fe2a5ffc8b3ca6f522b0a0a9c3f608526f1bb43b3ae7dad9d6"", ""blockTime"": 1727273124001, ""eventIndex"": 87, ""extrinsicIndex"": 2}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2214,242700000000,{'$numberDecimal': '242700000000'},0.0,15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP,16i7JAEaHLi7KjSzHvrnkiCYqtcb7H3FZ8KAqR52L8pEizAn,22691515.0,"Content creation V_200 V_201    ""Valen Lombardo""","{'parentBounty': 42, 'value': 242700000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP', 'beneficiary': '16i7JAEaHLi7KjSzHvrnkiCYqtcb7H3FZ8KAqR52L8pEizAn', 'unlockAt': 22691515}}}","{""indexer"": {""blockHeight"": 22692793, ""blockHash"": ""0x47653079f0ffbe86b5c84d5045258f94d2d60883b6917553550967314c188160"", ""blockTime"": 1727286030000, ""eventIndex"": 56, ""extrinsicIndex"": 2}, ""state"": ""Claimed""}",True,5,,,
